deviceDataId,trolleyId,deviceEndpoint,firmwareVersion,momentDetection,timestamp,status,intervalTimeset,Accelerometer,wifiRTT,wifiGeoLocation,imsi,GPSLatitude,GPSLongitude,address,locationSource,OtaTrigger,batteryLevel,batteryFault
11,7,G,1310,YES,2025-12-15 07:30:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.955835183657737,80.2372126851783,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,91,2A: 0000  2B: 0000 2F: 0000
12,7,G,1310,YES,2025-12-15 09:23:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956182986726477,80.23755762279507,"Ward 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
13,5,E,1310,YES,2025-12-15 09:23:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956182986726477,80.23755762279507,"Ward 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
14,2,A,1310,YES,2025-12-15 09:36:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956182986726477,80.23755762279507,"Ward 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,86,2A: 0000  2B: 0000 2F: 0000
15,1,B,1310,YES,2025-12-15 09:37:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956182986726477,80.23755762279507,"Ward 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,83,2A: 0000  2B: 0000 2F: 0000
16,4,D,1310,YES,2025-12-15 09:37:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956182986726477,80.23755762279507,"Ward 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,13,2A: 0000  2B: 0000 2F: 0000
17,9,JTR1-1376B00495E1,1310,YES,2025-02-23 09:55:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956358238374097,80.23708228110021,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,10,2A: 0000  2B: 0000 2F: 0000
18,9,JTR1-1376B00495E1,1310,YES,2025-02-23 10:27:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.95617496582818,80.23736877676679,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,90,2A: 0000  2B: 0000 2F: 0000
19,9,JTR1-1376B00495E1,1310,YES,2025-02-23 10:29:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956153994486042,80.23711940745085,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
20,11,KTR1-4827A00359D2,1310,YES,2025-02-23 10:29:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956153994486042,80.23711940745085,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
21,11,KTR1-4827A00359D2,1310,YES,2025-02-23 10:31:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956620283492459,80.23734628065952,"Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
22,11,KTR1-4827A00359D2,1310,YES,2025-02-23 10:33:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956358238374097,80.23708228110021,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,87,2A: 0000  2B: 0000 2F: 0000
23,10,HTR1-8254C00129D6,1310,YES,2025-02-23 10:34:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956358238374097,80.23708228110021,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
24,10,HTR1-8254C00129D6,1310,YES,2025-02-23 10:35:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.95617496582818,80.23736877676679,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
25,8,ITR1-4902F00864A5,1310,YES,2025-02-23 05:35:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.95617496582818,80.23736877676679,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,100,2A: 0000  2B: 0000 2F: 0000
26,8,ITR1-4902F00864A5,1310,YES,2025-02-23 05:45:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956153994486042,80.23711940745085,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,100,2A: 0000  2B: 0000 2F: 0000
27,8,ITR1-4902F00864A5,1310,YES,2025-02-23 05:46:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956620283492459,80.23734628065952,"Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,100,2A: 0000  2B: 0000 2F: 0000
28,8,ITR1-4902F00864A5,1310,YES,2025-02-23 05:50:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956358238374097,80.23708228110021,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
29,6,FTR1-7084E00952F7,1310,YES,2025-02-23 05:50:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956358238374097,80.23708228110021,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
30,6,FTR1-7084E00952F7,1310,YES,2025-02-23 05:50:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956153994486042,80.23711940745085,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
31,6,FTR1-7084E00952F7,1310,YES,2025-02-23 05:53:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956620283492459,80.23734628065952,"Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
32,6,FTR1-7084E00952F7,1310,YES,2025-02-23 05:55:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.95617496582818,80.23736877676679,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
33,3,CTR1-8891F00237A9,1310,YES,2025-02-23 05:59:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,2.7545325909895126,101.70441859463136,"KLIA Terminal 1 (Main Building), 1, KLIA Departure, Sepang, Selangor, 64000, Malaysia",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
34,3,CTR1-8891F00237A9,1310,YES,2025-02-23 05:59:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,2.7545325909895126,101.70441859463136,"KLIA Terminal 1 (Main Building), 1, KLIA Departure, Sepang, Selangor, 64000, Malaysia",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
35,9,JTR1-1376B00495E1,1310,YES,2025-03-10 09:59:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,2.7545325909895126,101.70441859463136,"KLIA Terminal 1 (Main Building), 1, KLIA Departure, Sepang, Selangor, 64000, Malaysia",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
36,10,HTR1-8254C00129D6,1310,YES,2025-02-24 09:59:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956114785799238,80.23713047944467,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
37,10,HTR1-8254C00129D6,1310,YES,2025-03-16 06:04:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956195814265383,80.23746445964883,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
38,10,HTR1-8254C00129D6,1310,YES,2025-03-16 06:04:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956193197387291,80.23746535472867,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
39,10,HTR1-8254C00129D6,1310,YES,2025-03-16 06:06:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956114785799238,80.23713047944467,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
40,10,HTR1-8254C00129D6,1310,YES,2025-03-16 06:24:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956193197387291,80.23746535472867,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
41,10,HTR1-8254C00129D6,1310,YES,2025-03-16 06:30:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956114785799238,80.23713047944467,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
42,10,HTR1-8254C00129D6,1310,YES,2025-03-16 07:50:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956193197387291,80.23746535472867,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
43,10,HTR1-8254C00129D6,1310,YES,2025-03-16 07:50:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956193197387291,80.23746535472867,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
44,3,CTR1-8891F00237A9,1310,YES,2025-03-31 10:50:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956193197387291,80.23746535472867,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,8,2A: 0000  2B: 0000 2F: 0000
45,3,CTR1-8891F00237A9,1310,YES,2025-03-31 10:53:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956193197387291,80.23746535472867,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
46,3,CTR1-8891F00237A9,1310,YES,2025-03-31 10:53:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956257295778741,80.23747942687895,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
47,3,CTR1-8891F00237A9,1310,YES,2025-03-31 10:55:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.95620006890455,80.23747347355719,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,97,2A: 0000  2B: 0000 2F: 0000
48,3,CTR1-8891F00237A9,1310,YES,2025-03-31 10:58:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956133390203632,80.2375799973363,"CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,97,2A: 0000  2B: 0000 2F: 0000
49,3,CTR1-8891F00237A9,1310,YES,2026-03-31 10:59:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956133390203632,80.2375799973363,"CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,95,2A: 0000  2B: 0000 2F: 0000
50,3,CTR1-8891F00237A9,1310,YES,2026-03-31 10:34:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956133390203632,80.2375799973363,"CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,93,2A: 0000  2B: 0000 2F: 0000
51,1,BTR1-6632C00791D4,1310,YES,2026-03-31 10:34:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956133390203632,80.2375799973363,"CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,93,2A: 0000  2B: 0000 2F: 0000
52,1,BTR1-6632C00791D4,1310,YES,2026-03-31 10:34:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.95610693194652,80.23711011310276,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,93,2A: 0000  2B: 0000 2F: 0000
53,1,BTR1-6632C00791D4,1310,YES,2026-03-31 10:38:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956214936869008,80.23746532575997,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,93,2A: 0000  2B: 0000 2F: 0000
54,1,BTR1-6632C00791D4,1310,YES,2026-03-31 10:39:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956260720503536,80.23742702140342,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,93,2A: 0000  2B: 0000 2F: 0000
55,1,BTR1-6632C00791D4,1310,YES,2026-03-31 10:39:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.95619305663412,80.23747188196216,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,93,2A: 0000  2B: 0000 2F: 0000
56,1,BTR1-6632C00791D4,1310,YES,2026-03-31 10:39:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956133390203632,80.2375799973363,"CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,91,2A: 0000  2B: 0000 2F: 0000
57,1,BTR1-6632C00791D4,1310,YES,2026-03-31 12:31:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956131306366117,80.23713116442026,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
58,1,BTR1-6632C00791D4,1310,YES,2026-03-31 12:32:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956131306366117,80.23713116442026,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,89,2A: 0000  2B: 0000 2F: 0000
